File,Output_folder,Experiment,MS_Plate,Fraction,Parameter_group,PTM,Reference_channel,File_order,Compound_order,Project,Comments
4188_A01_047062_S00_I00_U01_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,1,1,TRUE,,1,,Patients,
4188_A02_047062_S00_I00_U09_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,9,1,TRUE,,9,,Patients,
4188_B01_047062_S00_I00_U02_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,2,1,TRUE,,2,,Patients,
4188_B02_047062_S00_I00_U10_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,10,1,TRUE,,10,,Patients,
4188_C01_047062_S00_I00_U03_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,3,1,TRUE,,3,,Patients,
4188_C02_047062_S00_I00_U11_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,11,1,TRUE,,11,,Patients,
4188_D01_047062_S00_I00_U04_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,4,1,TRUE,,4,,Patients,
4188_D02_047062_S00_I00_U12_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,12,1,TRUE,,12,,Patients,
4188_E01_047062_S00_I00_U05_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,5,1,TRUE,,5,,Patients,
4188_F01_047062_S00_I00_U06_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,6,1,TRUE,,6,,Patients,
4188_G01_047062_S00_I00_U07_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,7,1,TRUE,,7,,Patients,
4188_H01_047062_S00_I00_U08_TMT11_R1,Batch1_PP_INFORM_MASTER,Batch1_PP_INFORM_MASTER,4188,8,1,TRUE,,8,,Patients,
4186_G08_047060_S00_U10_TMT11_R1,Batch2_var_MASTER,Batch2_var_MASTER,4186,10,0,FALSE,,10,,Patients,
4186_H11_047060_S00_U40_TMT11_R1,Batch2_var_MASTER,Batch2_var_MASTER,4186,40,0,FALSE,,40,,Patients,
